VisitID	AnimalTag	Start	End	ModuleName	Cage	Corner	CornerCondition	PlaceError	AntennaNumber	AntennaDuration	PresenceNumber	PresenceDuration	VisitSolution
0	98102056406	2016-04-19 14:56:46.59	2016-04-19 14:56:53.20	Default	1	3	1	0	1	7.265625	1	5.1875	0
1	98102056406	2016-04-19 15:02:31.51	2016-04-19 15:02:37.25	Default	1	3	1	0	1	6.171875	1	4.375	0
2	98102254571	2016-04-19 15:17:52.87	2016-04-19 15:18:05.78	Default	1	3	1	0	1	12.90625	1	12.328125	0
3	98102109088	2016-04-19 15:23:59.28	2016-04-19 15:24:03.21	Default	1	3	1	0	1	4.15625	1	2.84375	0
4	98102108806	2016-04-19 15:27:41.60	2016-04-19 15:27:45.31	Default	1	3	1	0	1	4.1875	1	2.28125	0
5	98102108473	2016-04-19 15:30:46.17	2016-04-19 15:30:51.14	Default	1	3	1	0	1	4.96875	1	3.75	0
6	98102109088	2016-04-19 15:32:25.46	2016-04-19 15:32:32.25	Default	1	3	1	0	1	6.96875	1	5.796875	0
7	98102108806	2016-04-19 15:33:44.76	2016-04-19 15:33:46.60	Default	1	3	1	0	1	2.15625	1	0.796875	0
8	98102109088	2016-04-19 15:39:22.28	2016-04-19 15:39:27.43	Default	1	3	1	0	1	5.4375	1	4.140625	0
9	98102108473	2016-04-19 15:42:42.84	2016-04-19 15:43:09.54	Default	1	3	1	0	4	25.234375	1	25.90625	0
10	98102108982	2016-04-19 16:37:43.40	2016-04-19 16:37:44.89	Default	1	3	1	0	1	2.546875	1	0.453125	0
11	98102056406	2016-04-19 16:40:12.79	2016-04-19 16:40:22.15	Default	1	3	1	0	1	9.859375	1	8.203125	0
12	98102056406	2016-04-19 16:47:22.21	2016-04-19 16:47:26.17	Default	1	3	1	0	1	4.03125	1	2.59375	0
13	98102254571	2016-04-19 16:52:33.40	2016-04-19 16:52:35.51	Default	1	3	1	0	1	2.109375	1	2	0
14	98102108982	2016-04-19 16:53:05.45	2016-04-19 16:53:24.26	Default	1	3	1	0	1	19.3125	2	15.265625	0
15	98102108806	2016-04-19 17:00:57.40	2016-04-19 17:00:59.00	Default	1	3	1	0	1	1.828125	1	0.265625	0
16	98102254571	2016-04-19 17:01:18.98	2016-04-19 17:01:35.76	Default	1	3	1	0	1	16.78125	1	16.390625	0
17	98102108806	2016-04-19 17:42:41.68	2016-04-19 17:43:17.87	Default	1	3	1	0	2	35.859375	1	36.1875	0
18	98102108473	2016-04-19 18:04:50.50	2016-04-19 18:04:51.51	Default	1	3	1	0	1	1.015625	1	1.796875	0
19	98102056406	2016-04-19 18:10:44.29	2016-04-19 18:10:55.57	Default	1	3	1	0	1	11.390625	1	10.171875	0
20	98102108473	2016-04-19 18:12:33.12	2016-04-19 18:12:41.01	Default	1	3	1	0	2	7.609375	1	7.921875	0
