SequenceSessionId	Tag	VisitId	Start	End	Address	Output	PackageName
0	98102056406	0	2016-04-21 16:33:25.65	2016-04-21 16:33:25.70	1	3	Wrong Hour
1	98102056406	0	2016-04-21 16:33:25.70	2016-04-21 16:33:25.87	1	3	Wrong Hour
2	98102056406	0	2016-04-21 16:33:25.87	2016-04-21 16:33:26.87	1	3	Wrong Hour
3	98102108806	3	2016-04-21 16:34:15.90	2016-04-21 16:34:16.81	1	3	Wrong Hour
4	98102108806	3	2016-04-21 16:34:16.81	2016-04-21 16:34:17.81	1	3	Wrong Hour
5	98102108806	3	2016-04-21 16:34:18.89	2016-04-21 16:34:18.92	1	3	Wrong Hour
6	98102108806	3	2016-04-21 16:34:18.92	2016-04-21 16:34:19.92	1	3	Wrong Hour
7	98102108806	3	2016-04-21 16:34:22.46	2016-04-21 16:34:23.46	1	3	Wrong Hour
8	98102108806	3	2016-04-21 16:34:35.14	2016-04-21 16:34:36.14	1	3	Wrong Hour
9	98102108806	3	2016-04-21 16:34:41.51	2016-04-21 16:34:42.53	1	3	Wrong Hour
10	98102108806	3	2016-04-21 16:34:46.67	2016-04-21 16:34:47.67	1	3	Wrong Hour
11	98102108806	3	2016-04-21 16:34:51.53	2016-04-21 16:34:52.53	1	3	Wrong Hour
12	98102108982	4	2016-04-21 16:35:14.07	2016-04-21 16:35:15.07	1	3	Wrong Hour
13	98102108982	4	2016-04-21 16:35:21.17	2016-04-21 16:35:22.17	1	3	Wrong Hour
14	98102108982	4	2016-04-21 16:35:24.12	2016-04-21 16:35:25.12	1	3	Wrong Hour
15	98102108982	4	2016-04-21 16:35:30.64	2016-04-21 16:35:31.64	1	3	Wrong Hour
16	98102108982	5	2016-04-21 16:35:37.75	2016-04-21 16:35:38.75	1	3	Wrong Hour
17	98102108982	5	2016-04-21 16:35:39.04	2016-04-21 16:35:40.06	1	3	Wrong Hour
18	98102108982	5	2016-04-21 16:35:41.29	2016-04-21 16:35:42.31	1	3	Wrong Hour
19	98102108982	6	2016-04-21 16:35:50.60	2016-04-21 16:35:51.60	1	3	Wrong Hour
20	98102108982	6	2016-04-21 16:35:51.64	2016-04-21 16:35:52.64	1	3	Wrong Hour
21	98102108982	7	2016-04-21 16:36:04.76	2016-04-21 16:36:05.76	1	3	Wrong Hour
22	98102108982	8	2016-04-21 16:37:07.09	2016-04-21 16:37:07.98	1	3	Wrong Hour
23	98102108982	8	2016-04-21 16:37:07.98	2016-04-21 16:37:08.98	1	3	Wrong Hour
24	98102108982	9	2016-04-21 16:37:22.60	2016-04-21 16:37:23.54	1	3	Wrong Hour
25	98102108982	9	2016-04-21 16:37:23.54	2016-04-21 16:37:24.54	1	3	Wrong Hour
26	98102108473	11	2016-04-21 16:38:52.20	2016-04-21 16:38:53.20	1	3	Wrong Hour
27	98102108473	11	2016-04-21 16:38:57.37	2016-04-21 16:38:58.09	1	3	Wrong Hour
28	98102108473	11	2016-04-21 16:38:58.09	2016-04-21 16:38:59.03	1	3	Wrong Hour
29	98102108473	11	2016-04-21 16:38:59.03	2016-04-21 16:39:00.03	1	3	Wrong Hour
30	98102108473	12	2016-04-21 16:39:02.84	2016-04-21 16:39:03.84	1	3	Wrong Hour
31	98102108473	12	2016-04-21 16:39:04.46	2016-04-21 16:39:05.28	1	3	Wrong Hour
32	98102108473	12	2016-04-21 16:39:05.28	2016-04-21 16:39:06.04	1	3	Wrong Hour
33	98102108473	12	2016-04-21 16:39:06.04	2016-04-21 16:39:07.00	1	3	Wrong Hour
34	98102108473	12	2016-04-21 16:39:07.00	2016-04-21 16:39:08.01	1	3	Wrong Hour
35	98102056406	13	2016-04-21 16:46:00.32	2016-04-21 16:46:01.32	1	3	Wrong Hour
36	98102056406	13	2016-04-21 16:46:02.70	2016-04-21 16:46:03.70	1	3	Wrong Hour
37	98102056406	13	2016-04-21 16:46:04.09	2016-04-21 16:46:05.09	1	3	Wrong Hour
38	98102056406	13	2016-04-21 16:46:05.54	2016-04-21 16:46:06.54	1	3	Wrong Hour
39	98102056406	13	2016-04-21 16:46:08.82	2016-04-21 16:46:09.82	1	3	Wrong Hour
40	98102056406	13	2016-04-21 16:46:10.96	2016-04-21 16:46:11.96	1	3	Wrong Hour
41	98102056406	13	2016-04-21 16:46:13.73	2016-04-21 16:46:14.73	1	3	Wrong Hour
42	98102108806	14	2016-04-21 16:46:19.45	2016-04-21 16:46:20.45	1	3	Wrong Hour
43	98102108806	14	2016-04-21 16:46:21.79	2016-04-21 16:46:22.79	1	3	Wrong Hour
44	98102108806	14	2016-04-21 16:46:24.70	2016-04-21 16:46:25.70	1	3	Wrong Hour
45	98102108806	14	2016-04-21 16:46:27.76	2016-04-21 16:46:28.76	1	3	Wrong Hour
46	98102108806	14	2016-04-21 16:46:30.62	2016-04-21 16:46:31.62	1	3	Wrong Hour
47	98102056406	15	2016-04-21 16:46:36.45	2016-04-21 16:46:36.75	1	3	Wrong Hour
48	98102056406	15	2016-04-21 16:46:36.75	2016-04-21 16:46:37.75	1	3	Wrong Hour
49	98102056406	15	2016-04-21 16:46:40.37	2016-04-21 16:46:41.07	1	3	Wrong Hour
50	98102056406	15	2016-04-21 16:46:41.07	2016-04-21 16:46:42.03	1	3	Wrong Hour
51	98102056406	15	2016-04-21 16:46:42.03	2016-04-21 16:46:42.71	1	3	Wrong Hour
52	98102056406	15	2016-04-21 16:46:42.71	2016-04-21 16:46:43.71	1	3	Wrong Hour
53	98102108806	16	2016-04-21 16:46:44.01	2016-04-21 16:46:45.01	1	3	Wrong Hour
54	98102108806	16	2016-04-21 16:46:47.71	2016-04-21 16:46:48.71	1	3	Wrong Hour
55	98102056406	19	2016-04-21 16:47:01.48	2016-04-21 16:47:02.48	1	3	Wrong Hour
56	98102056406	19	2016-04-21 16:47:03.53	2016-04-21 16:47:04.53	1	3	Wrong Hour
57	98102108806	20	2016-04-21 16:47:08.42	2016-04-21 16:47:09.42	1	3	Wrong Hour
58	98102056406	21	2016-04-21 16:47:15.28	2016-04-21 16:47:16.28	1	3	Wrong Hour
59	98102109088	22	2016-04-21 16:47:24.87	2016-04-21 16:47:25.87	1	3	Wrong Hour
60	98102108806	23	2016-04-21 16:47:31.57	2016-04-21 16:47:32.57	1	3	Wrong Hour
61	98102108806	23	2016-04-21 16:47:35.78	2016-04-21 16:47:36.78	1	3	Wrong Hour
62	98102108806	23	2016-04-21 16:47:41.21	2016-04-21 16:47:42.21	1	3	Wrong Hour
63	98102056406	24	2016-04-21 16:47:45.48	2016-04-21 16:47:46.48	1	3	Wrong Hour
64	98102056406	24	2016-04-21 16:47:46.48	2016-04-21 16:47:47.50	1	3	Wrong Hour
65	98102056406	25	2016-04-21 16:47:55.81	2016-04-21 16:47:56.81	1	3	Wrong Hour
66	98102056406	25	2016-04-21 16:48:31.29	2016-04-21 16:48:32.29	1	3	Wrong Hour
