DateTime	LogCategory	LogType	Cage	Corner	Side	LogNotes
2016-05-01 14:53:30.54	Info	Application				Session is started
2016-05-01 22:40:03.04	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-05-01 22:47:07.21	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-05-02 00:11:09.54	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-02 00:21:21.98	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-02 01:05:39.89	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-02 01:19:57.89	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-02 10:07:21.93	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-02 23:03:25.98	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-05-02 23:58:46.87	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-03 00:10:18.59	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-03 00:10:22.40	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-03 00:18:11.37	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-03 01:57:44.34	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-03 02:17:16.39	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-03 03:02:32.00	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-03 03:52:02.34	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-03 08:31:25.62	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-03 09:27:43.48	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-03 09:29:18.53	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-03 09:50:04.84	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-03 11:34:03.56	Info	Application				Session is stopped
