VisitID	Start	End	Side	SideCondition	SideError	TimeError	ConditionError	LickNumber	LickContactTime	LickDuration	AirState	DoorState	LED1State	LED2State	LED3State
4	2016-05-11 12:50:21.79	2016-05-11 12:50:22.45	5	1	0	0	0	0	0	0	0	0	0	0	0
5	2016-05-11 12:53:18.12	2016-05-11 12:53:18.42	5	1	0	0	0	0	0	0	0	0	0	0	0
7	2016-05-11 12:57:36.40	2016-05-11 12:57:37.01	5	1	0	0	0	0	0	0	0	0	0	0	0
7	2016-05-11 12:57:37.15	2016-05-11 12:57:37.45	5	1	0	0	0	0	0	0	0	0	0	0	0
8	2016-05-11 12:58:45.56	2016-05-11 12:58:45.78	5	1	0	0	0	0	0	0	0	0	0	0	0
10	2016-05-11 13:00:19.59	2016-05-11 13:00:20.07	5	1	0	0	0	0	0	0	0	0	0	0	0
11	2016-05-11 13:00:41.67	2016-05-11 13:00:41.92	6	-1	1	0	0	0	0	0	0	0	0	0	0
11	2016-05-11 13:00:44.51	2016-05-11 13:00:44.67	5	1	0	0	0	0	0	0	0	0	0	0	0
12	2016-05-11 13:01:40.81	2016-05-11 13:01:41.03	5	1	0	0	0	0	0	0	0	0	0	0	0
15	2016-05-11 13:06:19.25	2016-05-11 13:06:20.56	5	1	0	0	0	0	0	0	0	0	0	0	0
16	2016-05-11 14:27:30.82	2016-05-11 14:27:31.50	5	1	0	0	0	0	0	0	0	0	0	0	0
17	2016-05-11 14:27:59.25	2016-05-11 14:27:59.29	5	1	0	0	0	0	0	0	0	0	0	0	0
19	2016-05-11 14:52:04.60	2016-05-11 14:52:05.10	5	1	0	0	0	0	0	0	0	0	0	0	0
22	2016-05-11 15:09:33.42	2016-05-11 15:09:33.96	5	1	0	0	0	0	0	0	0	0	0	0	0
23	2016-05-11 15:14:01.32	2016-05-11 15:14:02.23	5	1	0	0	0	0	0	0	0	0	0	0	0
23	2016-05-11 15:14:06.34	2016-05-11 15:14:06.54	6	-1	1	0	0	0	0	0	0	0	0	0	0
24	2016-05-11 15:56:17.68	2016-05-11 15:56:17.90	5	1	0	0	0	0	0	0	0	0	0	0	0
25	2016-05-11 16:20:10.78	2016-05-11 16:20:11.87	5	1	0	0	0	0	0	0	0	0	0	0	0
26	2016-05-11 16:30:31.89	2016-05-11 16:30:32.01	5	1	0	0	0	0	0	0	0	0	0	0	0
27	2016-05-11 16:31:27.40	2016-05-11 16:31:27.46	5	1	0	0	0	0	0	0	0	0	0	0	0
28	2016-05-11 16:31:56.15	2016-05-11 16:31:57.57	5	1	0	0	0	0	0	0	0	0	0	0	0
28	2016-05-11 16:31:57.60	2016-05-11 16:31:58.25	5	1	0	0	0	0	0	0	0	0	0	0	0
28	2016-05-11 16:31:58.34	2016-05-11 16:31:58.70	5	1	0	0	0	0	0	0	0	0	0	0	0
29	2016-05-11 16:40:03.28	2016-05-11 16:40:03.50	5	1	0	0	0	0	0	0	0	0	0	0	0
30	2016-05-11 16:40:08.35	2016-05-11 16:40:08.56	5	1	0	0	0	0	0	0	0	0	0	0	0
31	2016-05-11 16:49:08.92	2016-05-11 16:49:09.09	5	1	0	0	0	0	0	0	0	0	0	0	0
34	2016-05-11 17:58:38.95	2016-05-11 17:58:39.18	5	1	0	0	0	0	0	0	0	0	0	0	0
35	2016-05-11 18:00:11.93	2016-05-11 18:00:11.98	5	1	0	0	0	0	0	0	0	0	0	0	0
36	2016-05-11 18:11:53.65	2016-05-11 18:11:55.42	5	1	0	0	0	0	0	0	0	0	0	0	0
37	2016-05-11 18:17:05.56	2016-05-11 18:17:05.70	5	1	0	0	0	0	0	0	0	0	0	0	0
37	2016-05-11 18:17:07.70	2016-05-11 18:17:08.53	5	1	0	0	0	0	0	0	0	0	0	0	0
37	2016-05-11 18:17:09.14	2016-05-11 18:17:09.17	5	1	0	0	0	0	0	0	0	0	0	0	0
38	2016-05-11 18:18:22.51	2016-05-11 18:18:23.92	5	1	0	0	0	0	0	0	0	0	0	0	0
40	2016-05-11 18:18:52.21	2016-05-11 18:18:52.35	5	1	0	0	0	0	0	0	0	0	0	0	0
41	2016-05-11 18:28:16.76	2016-05-11 18:28:17.95	5	1	0	0	0	0	0	0	0	0	0	0	0
43	2016-05-11 18:29:02.59	2016-05-11 18:29:02.68	5	1	0	0	0	0	0	0	0	0	0	0	0
44	2016-05-11 18:31:10.39	2016-05-11 18:31:10.43	5	1	0	0	0	0	0	0	0	0	0	0	0
44	2016-05-11 18:31:10.45	2016-05-11 18:31:10.65	5	1	0	0	0	0	0	0	0	0	0	0	0
44	2016-05-11 18:31:20.39	2016-05-11 18:31:21.01	6	-1	1	0	0	0	0	0	0	0	0	0	0
44	2016-05-11 18:31:49.76	2016-05-11 18:31:50.26	6	-1	1	0	0	0	0	0	0	0	0	0	0
44	2016-05-11 18:31:55.75	2016-05-11 18:31:56.82	5	1	0	0	0	0	0	0	0	0	0	0	0
44	2016-05-11 18:31:57.96	2016-05-11 18:31:59.53	5	1	0	0	0	0	0	0	0	0	0	0	0
46	2016-05-11 18:34:01.84	2016-05-11 18:34:02.45	5	1	0	0	0	0	0	0	0	0	0	0	0
47	2016-05-11 18:34:43.20	2016-05-11 18:34:43.46	5	1	0	0	0	0	0	0	0	0	0	0	0
47	2016-05-11 18:34:53.42	2016-05-11 18:34:53.81	6	-1	1	0	0	0	0	0	0	0	0	0	0
47	2016-05-11 18:34:54.07	2016-05-11 18:34:54.71	6	-1	1	0	0	0	0	0	0	0	0	0	0
48	2016-05-11 18:35:03.46	2016-05-11 18:35:04.20	5	1	0	0	0	0	0	0	0	0	0	0	0
50	2016-05-11 19:03:00.46	2016-05-11 19:03:00.57	6	-1	1	0	0	0	0	0	0	0	0	0	0
50	2016-05-11 19:03:02.57	2016-05-11 19:03:04.29	5	1	0	1	0	0	0	0	0	0	0	0	0
50	2016-05-11 19:03:05.60	2016-05-11 19:03:06.73	6	-1	1	1	0	0	0	0	0	0	0	0	0
50	2016-05-11 19:03:09.75	2016-05-11 19:03:09.81	5	1	0	1	0	0	0	0	0	0	0	0	0
51	2016-05-11 19:41:56.78	2016-05-11 19:41:57.51	5	1	0	1	0	0	0	0	0	0	0	0	0
52	2016-05-11 19:42:27.23	2016-05-11 19:42:36.85	5	1	0	0	0	9	0.372	1.09375	0	0	0	0	0
53	2016-05-11 19:56:03.09	2016-05-11 19:56:14.82	5	1	0	0	0	35	2.076	3.796875	0	0	0	0	0
54	2016-05-11 19:56:20.37	2016-05-11 19:56:30.07	5	1	0	0	0	11	0.248	1.015625	0	0	0	0	0
55	2016-05-11 19:56:34.67	2016-05-11 19:56:36.40	5	1	0	1	0	0	0	0	0	0	0	0	0
56	2016-05-11 19:58:21.50	2016-05-11 19:58:33.25	5	1	0	0	0	30	1.131	2.78125	0	0	0	0	0
57	2016-05-11 19:58:38.73	2016-05-11 19:59:12.76	5	1	0	0	0	13	0.263	1.203125	0	0	0	0	0
58	2016-05-11 19:59:18.01	2016-05-11 19:59:47.75	5	1	0	0	0	14	0.349	1.34375	0	0	0	0	0
59	2016-05-11 20:09:22.17	2016-05-11 20:09:30.17	5	1	0	0	0	9	0.148	0.78125	0	0	0	0	0
60	2016-05-11 20:09:42.23	2016-05-11 20:10:00.20	5	1	0	0	0	14	0.304	1.234375	0	0	0	0	0
61	2016-05-11 20:11:00.46	2016-05-11 20:11:06.75	5	1	0	0	0	27	0.754	2.328125	0	0	0	0	0
61	2016-05-11 20:11:07.04	2016-05-11 20:11:07.17	5	1	0	1	0	0	0	0	0	0	0	0	0
62	2016-05-11 20:11:17.46	2016-05-11 20:11:29.48	5	1	0	0	0	12	0.249	1.046875	0	0	0	0	0
63	2016-05-11 20:11:39.04	2016-05-11 20:11:47.31	5	1	0	0	0	28	1.448	3.03125	0	0	0	0	0
64	2016-05-11 20:11:52.67	2016-05-11 20:11:52.70	5	1	0	1	0	0	0	0	0	0	0	0	0
64	2016-05-11 20:11:55.59	2016-05-11 20:11:55.60	5	1	0	1	0	0	0	0	0	0	0	0	0
64	2016-05-11 20:11:55.65	2016-05-11 20:11:55.71	5	1	0	1	0	0	0	0	0	0	0	0	0
65	2016-05-11 20:12:52.40	2016-05-11 20:12:53.32	5	1	0	1	0	0	0	0	0	0	0	0	0
66	2016-05-11 20:13:17.73	2016-05-11 20:13:23.25	5	1	0	0	0	14	0.266	1.296875	0	0	0	0	0
67	2016-05-11 20:13:29.82	2016-05-11 20:13:35.21	5	1	0	0	0	10	0.205	0.953125	0	0	0	0	0
68	2016-05-11 20:13:40.65	2016-05-11 20:13:51.28	5	1	0	0	0	30	0.531	2.28125	0	0	0	0	0
69	2016-05-11 20:14:53.34	2016-05-11 20:15:02.14	5	1	0	0	0	2	0.044	0.1875	0	0	0	0	0
