DateTime	HardwareType	Cage	Corner	Side	State
2016-05-23 18:29:13.25	0	1	2		0
2016-05-23 18:29:13.28	0	1	3		0
2016-05-23 18:29:13.28	0	1	4		0
2016-05-23 18:29:13.28	1	1	1	1	1
2016-05-23 18:29:13.28	2	1	1	1	0
2016-05-23 18:29:13.28	1	1	1	2	1
2016-05-23 18:29:13.28	2	1	1	2	0
2016-05-23 18:29:13.28	1	1	2	3	1
2016-05-23 18:29:13.28	2	1	2	3	0
2016-05-23 18:29:13.28	1	1	2	4	1
2016-05-23 18:29:13.29	2	1	2	4	0
2016-05-23 18:29:13.29	1	1	3	5	0
2016-05-23 18:29:13.29	2	1	3	5	0
2016-05-23 18:29:13.29	1	1	3	6	0
2016-05-23 18:29:13.29	2	1	3	6	0
2016-05-23 18:29:13.29	1	1	4	7	1
2016-05-23 18:29:13.29	2	1	4	7	0
2016-05-23 18:29:13.31	1	1	4	8	1
2016-05-23 18:29:13.31	2	1	4	8	0
2016-05-23 18:29:13.31	0	1	1		0
2016-05-23 18:29:13.31	0	1	2		0
2016-05-23 18:29:13.31	0	1	3		0
2016-05-23 18:29:13.31	0	1	4		0
2016-05-23 18:29:13.34	1	1	1	1	1
2016-05-23 18:29:13.35	2	1	1	1	0
2016-05-23 18:29:13.39	1	1	1	2	1
2016-05-23 18:29:13.40	2	1	1	2	0
2016-05-23 18:29:13.43	1	1	2	3	1
2016-05-23 18:29:13.45	2	1	2	3	0
2016-05-23 18:29:13.48	1	1	2	4	1
2016-05-23 18:29:13.50	2	1	2	4	0
2016-05-23 18:29:13.53	1	1	3	5	0
2016-05-23 18:29:13.54	2	1	3	5	0
2016-05-23 18:29:13.57	1	1	3	6	0
2016-05-23 18:29:13.59	2	1	3	6	0
2016-05-23 18:29:13.62	1	1	4	7	1
2016-05-23 18:29:13.64	2	1	4	7	0
2016-05-23 18:29:13.67	1	1	4	8	1
2016-05-23 18:29:13.70	2	1	4	8	0
2016-05-23 19:34:16.34	1	1	3	5	0
2016-05-23 19:34:16.35	1	1	3	6	0
2016-05-23 19:34:16.37	2	1	3	5	0
2016-05-23 19:34:16.39	2	1	3	6	0
2016-05-23 19:35:30.67	2	1	3	5	96
2016-05-23 19:35:31.00	1	1	3	5	0
2016-05-23 19:35:31.56	2	1	3	5	0
2016-05-23 19:35:32.37	1	1	3	5	1
2016-05-23 19:35:33.98	1	1	3	5	1
2016-05-23 19:35:35.35	1	1	3	5	0
2016-05-23 19:35:49.89	1	1	3	5	0
2016-05-23 19:35:49.90	1	1	3	6	0
2016-05-23 19:35:49.92	2	1	3	5	0
2016-05-23 19:35:49.93	2	1	3	6	0
2016-05-23 19:35:53.45	2	1	3	5	96
2016-05-23 19:35:53.81	1	1	3	5	0
2016-05-23 19:35:54.35	2	1	3	5	0
2016-05-23 19:35:55.18	1	1	3	5	1
2016-05-23 19:35:56.81	1	1	3	5	1
2016-05-23 19:35:58.18	1	1	3	5	0
2016-05-23 19:36:07.43	1	1	3	5	0
2016-05-23 19:36:07.45	1	1	3	6	0
2016-05-23 19:36:07.46	2	1	3	5	0
2016-05-23 19:36:07.48	2	1	3	6	0
2016-05-23 19:36:12.14	2	1	3	5	96
2016-05-23 19:36:12.42	1	1	3	5	0
2016-05-23 19:36:12.68	1	1	3	5	1
2016-05-23 19:36:13.03	2	1	3	5	0
2016-05-23 19:36:15.42	1	1	3	5	1
2016-05-23 19:36:16.89	1	1	3	5	0
2016-05-23 19:36:34.93	1	1	3	5	0
2016-05-23 19:36:34.95	1	1	3	6	0
2016-05-23 19:36:34.96	2	1	3	5	0
2016-05-23 19:36:34.98	2	1	3	6	0
2016-05-23 19:36:38.68	2	1	3	5	96
2016-05-23 19:36:39.03	1	1	3	5	0
2016-05-23 19:36:39.59	2	1	3	5	0
2016-05-23 19:36:40.00	1	1	3	5	1
2016-05-23 19:36:42.03	1	1	3	5	1
2016-05-23 19:36:43.40	1	1	3	5	0
2016-05-23 19:37:05.87	1	1	3	5	0
2016-05-23 19:37:05.89	1	1	3	6	0
2016-05-23 19:37:05.90	2	1	3	5	0
2016-05-23 19:37:05.92	2	1	3	6	0
2016-05-23 19:37:09.43	2	1	3	5	96
2016-05-23 19:37:09.87	1	1	3	5	0
2016-05-23 19:37:10.35	2	1	3	5	0
2016-05-23 19:37:11.26	1	1	3	5	1
2016-05-23 19:37:12.87	1	1	3	5	1
2016-05-23 19:37:14.25	1	1	3	5	0
2016-05-23 19:37:37.14	1	1	3	5	0
2016-05-23 19:37:37.15	1	1	3	6	0
2016-05-23 19:37:37.15	2	1	3	5	0
2016-05-23 19:37:37.18	2	1	3	6	0
2016-05-23 19:37:40.06	2	1	3	5	96
2016-05-23 19:37:40.42	1	1	3	5	0
2016-05-23 19:37:40.87	1	1	3	5	1
2016-05-23 19:37:40.96	2	1	3	5	0
2016-05-23 19:37:43.40	1	1	3	5	1
2016-05-23 19:37:44.79	1	1	3	5	0
2016-05-23 19:37:49.87	1	1	3	5	0
2016-05-23 19:37:49.89	1	1	3	6	0
2016-05-23 19:37:49.89	2	1	3	5	0
2016-05-23 19:37:49.92	2	1	3	6	0
2016-05-23 19:37:54.18	2	1	3	5	96
2016-05-23 19:37:54.48	1	1	3	5	0
2016-05-23 19:37:55.07	2	1	3	5	0
2016-05-23 19:37:55.56	1	1	3	5	1
2016-05-23 19:37:57.46	1	1	3	5	1
2016-05-23 19:38:00.95	1	1	3	5	0
2016-05-23 19:38:17.96	1	1	3	5	0
2016-05-23 19:38:17.98	1	1	3	6	0
2016-05-23 19:38:18.00	2	1	3	5	0
2016-05-23 19:38:18.01	2	1	3	6	0
2016-05-23 19:38:23.29	2	1	3	5	96
2016-05-23 19:38:23.64	1	1	3	5	0
2016-05-23 19:38:24.20	2	1	3	5	0
2016-05-23 19:38:24.96	1	1	3	5	1
2016-05-23 19:38:26.64	1	1	3	5	1
2016-05-23 19:38:30.12	1	1	3	5	0
